title,text,label
"4 years of delay, short 87-km stretch derails Rs 1-lakh-crore Delhi-Mumbai Expressway","Project scrapped in March 2023, re-awarded to same Pune firm months later",0
Delhi’s entry ban on non-city private vehicles below BS-VI comes into force,"Delhi enforces a ban on non-BS-VI private vehicles and 'No PUC, No Fuel' rule to combat air pollution.",0
Glenn McGrath nearly throws chair after Nathan Lyon goes past him to become Australia second-highest wicket taker,"Nathan Lyon became Australia’s second-highest Test wicket-taker, surpassing Glenn McGrath with 564 wickets. He took two crucial wickets in his first over. | Cricket",0
"Trump in White House speech announces $1,776 bonus for U.S. troops, as he says economy is strong","Trump announces $1,776 bonus for troops, touting economic strength amid rising inflation and public concerns about financial stability.",0
US hits alleged drug boat with 'lethal kinetic strike' in eastern Pacific; kills 4,"US News: The US military said it carried out a strike on a vessel accused of drug trafficking in the eastern Pacific Ocean on Wednesday, killing four people, a.",0
"U.S. Approves $11 Billion Weapons Package To Taiwan; Will Include Ukraine's ""Battle Tested"" Weapons","Taipei announced on Thursday that the Trump administration is moving ahead with its largest-ever weapons sale to the island—a massive $11.1 billion package that’s the second major deal since President Trump returned to office earlier this year. This comes at a time when China has been stepping up military drills and pressure around Taiwan, which […]",0
Bengaluru’s bright lights could blank out 3I/ATLAS comet tomorrow,"This has only added to the excitement, prompting many beyond the expected lot of astronomers to consider the celestial body with intrigue.",0
Bengaluru’s bright lights could blank out 3I/ATLAS comet tomorrow,"This has only added to the excitement, prompting many beyond the expected lot of astronomers to consider the celestial body with intrigue.",0
Asim Munir's US Challenge As Trump Pushes Pakistan To Send Troops To Gaza,"Field Marshal Asim Munir, Pakistan's all-powerful defence chief, is reportedly looking at the toughest test of his expanding stronghold on Islamabad as the United States pushes the South Asian nation to send troops to Gaza.",0
"Flight disruptions likely amid Delhi fog, low visibility? Air India, SpiceJet issue advisories","Airlines said that all departures, arrivals and their consequent flights might be impacted due to the low visibility and bad weather in Delhi | India News",0
PNB scam: Belgium top court endorses lower court view; no risk of denial of justice to Choksi in India,"Belgium's top court upholds extradition request for fugitive Mehul Choksi, dismissing claims of injustice and torture in India.",0
"'Inherited a mess, fixing it': Donald Trump hits out at Biden - top quotes from White House speech","US News: President Trump highlighted significant achievements in foreign policy, economy, and border security during his address. He claimed to have resolved n",0
India is world's worst dope offender: Tops list for third straight time,"More sports News: India has once again topped the global list for dope violations, with 260 athletes flagged in 2024, according to a WADA report. This marks the third c",0
"Mother Sold Jewellery, Father Slept Hungry: Inside CSK's Rs 14.20 Crore Star Kartik Sharma's Journey To IPL",19-year-old Kartik Sharma was bought by Chennai Super Kings (CSK) for a whopping Rs 14.20 crore at the IPL 2026 auction.,0
Desi Ozempic: Could THIS everyday dietary fiber be the new weight,"A common dietary fiber, psyllium husk, is being hailed as a natural alternative to weight-loss drugs like Ozempic. While Ozempic mimics gut hormones t",0
"Delhi AQI: Delhi smog tightens grip, AQI stays ‘very poor’ at 370; flights delayed as visibility dips","Delhi is battling severe smog, with air quality reaching 'very poor' levels. Authorities have activated all Stage-IV measures under the Graded Respons",0
"Juice cleanses, fasting don’t work: Expert reveals 5 habits that actually detox your liver and gut","Forget quick fixes; true liver and gut detox hinges on sustainable lifestyle choices. Experts highlight that excess sugars, refined carbs and sedentar",0
"U.S., Russian negotiators to meet over Ukraine peace deal: media","U.S. and Russian negotiators are expected to hold talks in Miami, in the U.S. state of Florida, this weekend over a peace deal aimed at ending the Ukraine crisis that has lasted nearly four years, U.S. media outlet Politico reported on Wednesday.",0
"7 key things that changed for Indian stock market overnight - Gift Nifty, Asian markets to gold prices","Indian stock market indices, Sensex and Nifty 50, are expected to open flat to slightly negative on December 17, following three sessions of losses and global market concerns. The Sensex closed down 120 points, while Nifty dropped 42 points amid ongoing investor caution.",0
"World-beating 55,000% surge in India AI stock fuels bubble fears",The rally is now showing signs of strain — and regulators are taking a closer look,0
Nathan Lyon: Australia spinner overtakes Glenn McGrath to become sixth-most successful Test bowler,The Australia spinner now sits sixth on the all-time list with 564 wickets after removing Ollie Pope and Ben Duckett in the third Ashes Test in Adelaide.,0
The Insurance Bill 2025 Explained,A story that dives into why India is rewriting its insurance rulebook.,0
5 morning habits that age you faster,"The way you start your morning quietly shapes how your body and skin age over time. Some everyday habits may seem harmless but can speed up ageing, drain energy, and affect long-term health. Here are five morning mistakes worth fixing.",0
"Eating clean, working out, and still not losing weight? American doc reveals the real culprit - how to fix it","Are you eating clean and exercising yet still not losing weight? Dr. Johnny Hadac reveals how insulin resistance, affecting 40% of Americans, could be the reason behind your weight struggles. Learn about dietary changes, fasting, and exercise tips to overcome this common issue.",0
Injured or dropped? Fans speculate broader reason for Shubman Gill's T20I absence,"Shubman Gill’s injury ruled him out of the Lucknow T20I, but questions around his form lingered. With India hit by injuries, selection debates intensified as the series entered a decisive phase.",0
GIFT Nifty down 30 points; here's the trading setup for today's session,Indian markets saw choppy movement on Wednesday. Nifty closed lower by 41 points. Analysts suggest the underlying trend remains weak. Nifty is expected to find support around 25700-25650 levels. Any bounce back may face resistance around 25950-26000 levels. Foreign portfolio investors were net sellers.,0
ICICI Prudential IPO Listing: GMP indicates asset manager to debut with strong gains,"The listing will make ICICI Prudential AMC the fifth ICICI Group entity to be traded on the bourses, after ICICI Bank, ICICI Prudential Life, ICICI Lombard, and ICICI Securities.",0
LG's First Dolby FlexConnect Soundbar Lets You Place Speakers Anywhere,The company unveiled its surround system which lets you add speakers to any TV if you buy the soundbar.,0
Dolby and LG Unveil a New Era of Home Audio With the World’s First Soundbar Audio System Powered by Dolby Atmos FlexC...,"Experience Cinematic Dolby Atmos Sound, Zero Stress, and Total Freedom with Dolby Atmos FlexConnect Coming to LG’s Sound Suite and Latest Lineup of...",0
"'We were laughing and crying': Maanvi Gagroo says Four More Shots Please put her on the map, recalls emotional last day","In an exclusive conversation with Hindustan Times, Maanvi Gagroo talked about bidding goodbye to Four More Shots Please with season four.  | Web Series",0
"Horoscope Today: December 18, 2025",See what the stars have in store for your sign,0
"New blood test can detect, monitor lung cancer in real time","New Delhi, Dec 17 (IANS) A team of UK researchers has developed a pioneering blood test that could enable doctors to detect and monitor lung cancer in real time, which will help reduce diagnostic delays and improve patient outcomes. Using the technique Fourier Transform Infrared (FT-IR) microspectroscopy, the team detected a single lung cancer cell in...",0
Rob Reiner's son Nick Reiner appears in court on murder charges; medical examiner reveals cause of death,"Nick Reiner faces first-degree murder charges for the stabbing deaths of his parents, Rob and Michele Reiner, as the LA County Medical Examiner reveals the cause of death was multiple sharp force injuries. The family expresses their immense grief in a public statement.",0
Caught on camera! 'Angry' Jasprit Bumrah snatches phone after fan ignores warning - WATCH,"Cricket News: Indian pacer Jasprit Bumrah was seen losing his temper at an airport, snatching a fan's phone who was recording him without permission. After a brief",0
‘Total failure’: Supreme Court instructs CAQM to redo bad air plan,"The court noted that air pollution in Delhi and the National Capital Region (NCR) has become a predictable annual phenomenon, particularly during winter. | India News",0
Nuke bill clears LS as Oppn wants House panel scrutiny,The bill proposes the grant of licences to private companies to operate nuclear power plants | India News,0
Kauvery Hospital launches institute of digestive sciences,"Kauvery Hospital launches the Institute of Digestive Sciences, offering advanced care for gastrointestinal and liver diseases.",0
Trump to address nation: President previews speech; says ‘we inherited a mess’,"US News: US President Donald Trump is set to deliver a televised address to the nation Wednesday, outlining plans to strengthen America amid declining populari.",0
Barrier-free highway toll collection system by 2026-end: Gadkari,India News: New Delhi: Highway commuters won’t have to stop to pay user fee at national highway toll plazas by 2026-end as the govt rolls out the multi-lane free .,0
The OnePlus 15R sets a new record for battery at a price that's cheaper than Samsung and Google,The OnePlus 15R has launched with specs that outpace its closest competitors - and more expensive rivals.,0
Bondi Beach Shooting: ‘Could feel him dying’ Meet the Sikh who pounced on Bondi shooter; restrained gunman until cops took over,"A Punjabi-Sikh New Zealander, Amandeep Singh Bola, displayed remarkable bravery during the Bondi beach shooting. While enjoying a kebab, he heard guns",0
'Inherited a mess': Donald Trump's message ahead of address to the nation,"Ahead of this highly anticipated address, the Republican leader has hinted that what his speech will entail.",0
"Netanyahu approves $35 billion natural gas export deal to Egypt, biggest in Israeli history","Netanyahu approves Israel's largest-ever $35 billion natural gas export deal to Egypt, enhancing regional energy stability and relations.",0
Billionaire astronaut Jared Isaacman appointed new Nasa chief,"Jared Isaacman, 42, was first nominated for the role in December 2024 by Donald Trump. However, the nomination was abruptly withdrawn five months later after what Trump described as a ""thorough review of prior associations"".",0
Lionel Messi given incredibly rare $1.1m gift by Indian billionaire on chaotic 'GOAT Tour',"Lionel Messi received an incredibly rare $1.1 million gift from an Indian billionaire during his 'GOAT Tour' of India. The Argentina and Inter Miami star, who recently won his maiden MLS Cup in the U.S., was in the country on a four-day visit which kicked off chaotically in Kolkata last Saturday. The 38-year-old travelled across four cities in India during his stay.",0
Lionel Messi given incredibly rare $1.1m gift by Indian billionaire on chaotic 'GOAT Tour',"Lionel Messi received an incredibly rare $1.1 million gift from an Indian billionaire during his 'GOAT Tour' of India. The Argentina and Inter Miami star, who recently won his maiden MLS Cup in the U.S., was in the country on a four-day visit which kicked off chaotically in Kolkata last Saturday. The 38-year-old travelled across four cities in India during his stay.",0
Down Arrow Button Icon,Prasad’s exit comes after Amazon struggled to show its internal AI efforts could match those of rivals and amid reports of a new AWS investment in OpenAI.,0
"AAP sweeps rural body polls in Punjab, falters on leaders’ home turfs",AAP swept zila parishad and panchayat samiti elections in Punjab. Congress at second spot. Akali Dal gains ground in panchayat samitis.,0
Heart Health: American Heart Association recommends simple ways to reduce inflammation,"Silent inflammation inside the body, particularly in the heart, is linked to increased risks of heart attack, stroke, and heart failure. Experts empha",0
Amazon announces biggest ever layoffs at its European headquarters; these employees affected the most,"Tech News News: Amazon is cutting 370 jobs, or 8.5%, at its European headquarters in Luxembourg, impacting software developers most due to AI advancements. This is co",0
"Nidhhi Agerwal gets mobbed and manhandled by fans at 'The Raja Saab' song launch event; netizens react, calling it 'HIGHLY DISTURBING'","At the 'Raja Saab' song launch in Hyderabad, actress Nidhhi Agerwal experienced an intense moment when an enthusiastic crowd of fans overwhelmed her d",0
Four simple habits that can help 'de-age' your brain by eight years,"New research suggests adopting four habits can make your brain appear up to eight years younger. Optimism, deep sleep, stress management, and strong s",0
Scientists baffled as sharks found swimming inside one of world’s most active underwater volcanoes,"Trending News: A surprising expedition reveals sharks thriving in the hostile environment of Kavachi, a highly active underwater volcano. Explore the challenges and implications of this unexpected finding.",0
Trump's travel ban on 39 countries: Who are exempt from the new visa rules? What about the fiance visa?,"US News: The Donald Trump administration, in an expected move, widened the travel ban to include more African countries from which people can't now travel to t.",0
Dense fog: Air India issues travel advisory; warns of possible flight disruptions,India News: Air India has issued a travel advisory warning passengers of possible flight disruptions over the next few days. Dense fog conditions are expected in,0
What Time Is ‘Emily In Paris’ Season 5 Coming Out On Netflix?,“Emily in Paris” Season 5 is nearly here. Here’s exactly when the new season premieres on Netflix and whether fans will be able to binge all 10 episodes at once.,0
"Doctors told it was exam stress, but it turned out to be something much worse","At just 19, what seemed like common exam anxiety turned a harrowing corner when a catastrophic collapse unveiled a brain tumour threatening her life.",0
Avatar Fire and Ash sells 2.25 lakh tickets at national chains in India,"Avatar: Fire and Ash, directed by James Cameron, is set to become the 3rd installment in the sci-fi epic franchise, releasing on December 19, 2025.",0
Nvidia Might Cut RTX 50 GPU Supply by Up to 40% in 2026 Due to Memory Shortages,The RTX 5070 and 5060 Ti cards could be the first to see supply-side restrictions.,0
Rashmika Mandanna’s Sri Lanka girls’ trip sparks bachelorette buzz ahead of wedding with Vijay Deverakonda,Rashmika Mandanna recently took a short break from her packed shooting schedule to head out on a girls-only getaway to Sri Lanka. The actor shared gli,0
What time is Trump's announcement to the nation today? What to expect from it?,"Trump will deliver a prime-time address to the nation at 9 p.m. ET Wednesday from the White House, closely watched amid declining popularity.",0
"AI Gold Rush: TCS Eyes $1.5B, Aims for No.1 Spot",The country’s largest IT services firm Tata Consultancy Services Ltd. on Wednesday outlined an aggressive plan to become the world’s largest AI-led technology services company as CEO K Krithivasan shared that the company has logged about $1.5 billion in annualised revenue.,0
"Why have 51 cartons of Nehru papers taken back by ‘family’ in 2008 not been returned, Centre asks Congress",India News: New Delhi: Asserting that “51 cartons of Jawaharlal Nehru papers” were formally taken back by the “family” in 2008 from Prime Ministers’ Museum and Li.,0
My favorite free TV streaming service now has 250 live channels,"Google TV Freeplay just added a bunch of new free channels, with something for everyone to watch.",0
